,Global X,Global Y,CD45RO,N/A,CD31,N/A,N/A,N/A,N/A,pan-CK,PD-1,Ki-67,cyclin D,b-actin,CD3,CD4,N/A,CD16,N/A,N/A,PD-L1,ATPase,Granzyme B,P53,NF-kB,PTEN,p-ERK1/2,N/A,Caspase 3
45,4251,7981,413.19,326.38,375.44,379.88,388.49,398,352.66,373.59,435.42,392.4,410.44,436.68,455.49,378.69,402.4,375.72,399.24,362.48,365.1,504.33,365.82,390.7,392.54,375.96,416.94,366.45,401.34
46,5027,15380,258,265.83,260.2,259.08,264.98,254.9,256.9,257.1,256.4,261.89,258.8,244.14,264.84,256.68,254.68,256.88,259.38,259.6,252.6,252.5,260.68,264.3,259.53,260.24,267.26,257.2,256.18
47,11728,22580,366.74,388.26,395.96,367.39,380.84,353.2,340.46,356.48,336.7,363.7,403.56,400.76,400.95,376.4,402.23,369.98,390.08,369.54,379.37,380.19,395.91,394.78,384.3,342.78,391.42,373.78,405.14
48,21692,9379,583.38,562.09,584.82,516.03,447.28,560.18,568.18,561.6,566.14,471.94,453.93,603.99,490.71,554.16,491.92,432.88,541.5,582.84,426.44,360.68,540.2,424.71,521.08,427.24,446.03,444.28,440
49,8771,1783,521.3,448.08,452.96,436.44,461,475.77,455.08,483.02,386.78,476.3,466.2,405.24,516.86,507.46,393.41,454.22,482.5,415.22,476.48,544.2,389.01,320.46,358.38,417.89,360.18,491.32,392.42
50,15591,10647,504.68,449.18,445.6,405.38,480.93,502.39,456.12,408.56,322.58,598.71,420.99,420.58,524,498.28,404.68,389.14,435.16,425.77,447.55,352.92,292.96,464.67,465.2,460.62,469.53,422.94,429.07
51,17568,9369,611.91,598.86,482.02,563.56,525.82,551.2,551.18,535.68,491.82,584.1,578.6,538.7,666.43,583.26,521.17,596.88,530.43,528.86,584.98,515.1,548.96,591.3,576.39,534.92,556.53,556.8,524.43
52,16330,19198,402.26,408.54,423.48,387.94,406.74,406.33,457.71,424.34,409.13,399.57,393.88,413.78,405.04,391.05,444,409.92,397.02,387.9,368.9,342.96,341,407.2,385.96,407.32,361.02,398.42,365.74
53,320,6430,475.62,363.76,378.35,402.97,405.54,363.62,396.58,392.2,390.95,410.3,410.16,421.27,460.06,384.32,370.7,409.82,406.5,439.32,406.21,355.63,368.99,388.8,364.88,414.27,368.45,379.36,373.22
54,5570,19838,528.46,529.47,486.56,578.9,541.12,546.66,492.2,471.46,510.8,589.08,457.74,456.43,544.47,547.5,509.86,467.96,511.82,485.68,511.14,507.72,497.06,456.7,534.23,438.26,505.42,489.93,516.46
55,2364,11343,663.91,642.64,570.6,673.89,665.8,616.42,520.31,510.23,544.29,698.85,596.22,604.78,528.85,562.16,660.86,547.84,582.7,558.28,547.46,554.56,626.71,486.58,655.98,609.3,604.98,522.7,623.17
56,11416,17814,499.58,402.78,438.38,478.6,422.74,382.28,437.1,411.86,409.74,499.95,484.44,391.44,489.2,426.98,396.26,437.96,379.3,424.46,448.5,397.36,422.32,427.9,484.76,473.58,459.4,437.21,437.58
57,11093,13730,507.6,374.87,345.2,381.88,350.54,381.25,358.24,380.48,419,471.95,336.38,293.9,379.46,388.05,395.33,377.87,389.07,386.17,355.4,386.98,411.54,342.33,403.58,431.4,358.59,375.26,366.63
58,15651,12105,238.1,234.23,234.85,226.88,228.74,232.21,233.38,233.44,233.84,241,239.43,236.78,246.18,240.58,231.6,236.7,230.65,234.74,238.08,233.38,240.1,232.68,243.3,242.09,234,231.38,229.3
59,14485,20014,336.48,411.5,359.14,370.61,377.97,305.28,406.66,368.14,365.32,355.66,364.21,356.8,356.44,362.28,359.63,362.06,364.14,355.09,380.66,369.45,345.38,363.91,382.7,346.58,370.32,340.73,342.77
60,7412,16315,334.36,404.31,484.48,401.03,457.87,364.14,430.11,417.05,473.28,509.86,444.5,406.5,591.18,492.66,415.68,422.68,398.38,391.94,242.2,446.76,326.46,436.1,512.88,485.36,423.1,434.1,438.23
61,10126,11054,477.06,425.7,387.18,425.32,400.6,382.48,399.64,417.13,440.19,461.44,432.88,430.08,405.72,432.84,394.9,439.88,420.15,386.5,384.24,391.61,416.68,425.28,408.5,421.53,390.48,413.63,409.69
62,8104,10562,540.85,490.46,472.81,448.52,415.08,420.5,467.64,448.86,520.16,559.68,439.88,462.56,512.08,467.71,390.54,453.71,416.06,427,500.64,437.96,404.96,428.1,488.17,435.6,447.94,452.58,448.13
63,9046,13324,665.66,442.06,533.41,511.28,512.01,568.74,541.98,477.84,636.54,587.22,503.84,575.44,370.98,480.59,502.92,487.2,522.12,546.58,419.18,534.34,478.26,474.54,686.48,479.42,570.89,502.63,566.12
64,6249,21041,480,469,452.16,499.12,407.2,430.22,477.67,455.93,510.32,502.96,467.28,421.34,540.15,462.65,513.61,458.58,467.28,479,489.04,498.82,473.6,456.18,466.08,444.11,414.14,475.22,446.9
65,6601,9774,411.23,376.7,394.1,363.56,347.48,387.82,390.42,375.25,363.86,440.26,390.05,391.56,276.18,433.5,409.46,376.37,357.13,398.63,416.98,399.24,366.25,424.6,384.5,431.28,460.78,384.2,404.23
66,15592,15757,498.78,450.7,401.69,461.36,414.15,475.28,395.62,429.85,477.26,482.88,505.76,408.07,438.52,405.94,432.16,425.38,493.9,451.58,524.97,500.18,442.7,403.89,460.7,477.06,403.98,468.91,457.34
67,5164,12181,436.14,403.24,433.35,395.32,390.18,396.86,411.1,417.46,410.62,474.42,426.68,357.78,540.14,407.18,388.02,404.17,415.8,398.31,391.12,430.39,412.9,408.18,442.64,410.72,412.6,395.64,404.2
68,6040,14173,516.72,442.68,478.36,505.64,509.18,453.75,495.36,481.9,483.26,542.58,488.46,533.18,546.34,489.32,470.87,478.52,456.7,454.09,498.7,494.49,491.98,476.78,495.77,541.95,297.3,474.46,484.24
69,4934,8694,372.65,353.59,380.4,357.99,360.49,385.41,396.17,327.06,336.54,444.55,435.98,433.68,503.57,492.46,353.18,359.68,324.68,401.84,399,294.68,357.26,422,459.07,391.72,394.26,381.46,413.17
70,11408,15296,354.11,359.69,319.43,387.54,367.17,401.1,361.9,363.36,347.52,425.58,395.1,335.34,518.82,409.76,456.98,389.34,387.94,389.88,394.71,423.38,380.76,388.34,447.39,382.7,355.38,377.3,331.68
71,22252,16377,393.17,414.9,388.82,359.84,387.6,403.16,389.49,318.59,345.24,396.82,344.98,383.36,355,365.28,404.88,396.74,369.06,379.55,366.4,396.44,413.36,399.88,393.4,433.62,385.3,389.67,313.58
72,7691,16323,404.76,492.88,409.2,372.9,346.85,360.88,368.2,390.3,384.88,426.27,413.59,386.55,444.93,376.89,388.02,402.93,409.02,422.28,386.76,422.02,392.28,419.78,433.41,387.6,375.52,357.22,393.36
73,1251,13645,425.04,533.3,483.68,524.54,499.29,503,450.83,482.48,470.16,515.4,459.04,458.81,516.88,484.18,513.58,458.22,449.83,533.43,476.54,464.04,514.88,461.49,493.09,499.3,457.16,450.46,459.61
74,8369,13896,496.74,361.34,306.98,361.18,352.76,321.4,369.25,384.28,301.68,429.08,305.58,304.54,424.6,373.68,343.22,364.5,371,368.78,471,255.81,449.41,324.46,411.69,368.78,448.48,357.72,431.6
75,1142,8149,722.57,705.24,654.4,673.43,447.64,541.58,648.5,498.54,697.35,682.64,628.1,714.37,510.48,541.03,559.22,514.2,633.42,886.5,649.74,590.74,748.94,508,663.35,710.58,735.9,656.76,529.83
76,5781,12449,421.3,316.09,343.26,281.86,220.86,318.49,378.76,374.04,384.14,418.34,338.79,337.08,428.8,392.64,358.32,372.96,371.86,403.98,432.86,360.87,339.91,346.68,394.65,347.96,388.52,360.3,364.44
