	Global X	Global Y	CD45RO	N/A	CD31	N/A	N/A	N/A	N/A	pan-CK	PD-1	Ki-67	cyclin D	b-actin	CD3	CD4	N/A	CD16	N/A	N/A	PD-L1	ATPase	Granzyme B	P53	NF-kB	PTEN	p-ERK1/2	N/A	Caspase 3
33	7457.0	10902.0	411.76000000000005	431.82	419.49	432.21000000000004	449.5	395.94	407.25	429.78	457.22	429.03999999999996	452.65999999999997	436.5	415.47	441.59	393.24	415.18	422.01	435.17	424.28000000000003	430.77	451.8	433.1600000000001	420.3	423.63000000000005	450.3	437.46000000000004	426.01
34	3453.0	7606.0	328.60999999999996	318.1	325.58000000000004	326.05	312.9	321.9	323.3	324.99	322.20000000000005	323.84000000000003	323.03000000000003	318.28	333.54	320.88	319.3	318.89000000000004	324.45	321.98	328.75	316.44	322.48	321.66999999999996	322.62	329.4	323.33000000000004	311.53999999999996	327.05
35	7041.0	15900.0	225.2	228.49	234.3	236.24	239.58	234.48000000000002	234.5	230.36	234.25	234.68	235.41000000000003	234.38	235.60000000000002	233.67000000000002	238.78000000000003	231.15	232.63	231.5	235.5	225.53000000000003	231.5	238.55	229.69000000000003	236.28000000000003	235.35000000000002	231.83	234.68
36	20195.0	21906.0	708.9000000000001	620.87	674.7	643.5799999999999	734.28	613.74	752.6800000000001	698.19	666.96	660.7	741.1800000000001	1005.27	702.1400000000001	720.39	825.8399999999999	742.9300000000001	744.98	776.0799999999999	785.9	787.1	599.14	616.3	673.44	687.88	574.75	766.3900000000001	668.99
37	5445.0	21259.0	405.48	452.8	457.15999999999997	444.06000000000006	662.8599999999999	416.36	514.98	436.48	417.23	464.38	421.28	494.46000000000004	455.29	480.61	509.64	545.5	483.46000000000004	507.81999999999994	484.04	440.24	418.0	397.93	406.63	471.8	519.88	366.8	413.26
38	3770.0	8537.0	440.7	554.4000000000001	400.32000000000005	431.68	413.90999999999997	423.96	386.82	381.52000000000004	461.58000000000004	386.5	392.40999999999997	391.34000000000003	346.14	416.46000000000004	419.32000000000005	399.73	419.94	378.57000000000005	361.82	384.08000000000004	451.30999999999995	355.17	405.8	400.64	406.62	417.56000000000006	390.41999999999996
39	6275.0	14283.0	454.8	439.66999999999996	425.28	524.6600000000001	539.45	479.42	523.0	486.33000000000004	492.29	516.5	514.22	518.3199999999999	557.49	504.78	564.5	454.63	494.48	550.1800000000001	571.8	452.65	450.6	489.59	509.86	504.66	513.1	512.08	504.22
40	18535.0	17250.0	639.4000000000001	489.72	511.09000000000003	564.3800000000001	556.3	547.8199999999999	482.4	442.97999999999996	481.84000000000003	606.36	506.45	477.0	503.44	490.52	448.53	450.91	529.86	505.2	335.53999999999996	550.98	487.6700000000001	493.74	534.12	530.78	515.3199999999999	494.71000000000004	542.5899999999999
41	8611.0	15084.0	452.53999999999996	488.2	474.46	404.0	434.47	419.69	441.9	501.09000000000003	475.0	456.1	450.80000000000007	350.34000000000003	454.28	432.86	445.26	462.88	541.78	388.37	545.63	473.38	435.46000000000004	523.24	443.06	431.0	408.85	522.02	490.43000000000006
42	9449.0	13407.0	368.96000000000004	546.74	514.73	547.16	482.9	493.32	508.24	483.3	595.64	600.6500000000001	544.11	612.0999999999999	653.44	535.9	498.9	607.3399999999999	463.14	496.9	509.87	593.9000000000001	554.53	591.44	576.36	633.22	447.55	573.6200000000001	510.4
43	6892.0	13619.0	331.99	469.06000000000006	381.01	356.36	400.93	400.96	398.29999999999995	387.95000000000005	354.65999999999997	472.85	403.12	400.45000000000005	446.24	392.94	347.69	343.46000000000004	382.67999999999995	408.6	429.56000000000006	386.09	421.86	459.76	325.86	407.76	493.18	375.61	321.20000000000005
44	7334.0	2933.0	497.29999999999995	581.3399999999999	561.02	496.47999999999996	438.74	472.69	487.54	476.20000000000005	359.16	463.28999999999996	535.6800000000001	459.98	496.14	436.72	488.38	484.68	470.20000000000005	515.56	456.53999999999996	455.36	485.44	434.06000000000006	499.56	451.61	443.5	440.20000000000005	467.18
45	20375.0	9236.0	286.94000000000005	283.73	286.65	285.3	291.12	286.18	279.91	284.18	289.49	283.20000000000005	289.69000000000005	290.78	270.63	276.52	278.5	281.76	277.72	288.01	276.71	292.44	297.34000000000003	281.58000000000004	296.15999999999997	286.99	286.02	287.38	285.46999999999997
46	15814.0	15865.0	393.64	439.34000000000003	482.24	490.92	529.6800000000001	445.36	402.94	484.5	420.81	385.71000000000004	452.99	408.08	498.59999999999997	463.64	426.5	431.68999999999994	410.28000000000003	430.75	366.63	477.36	433.97	456.20000000000005	467.52	441.88	438.56000000000006	444.29999999999995	455.56000000000006
47	8661.0	13437.0	569.44	479.70000000000005	483.23	430.91999999999996	510.94000000000005	459.79	462.56000000000006	529.76	556.79	483.05	530.24	469.76000000000005	498.4	503.58000000000004	524.62	496.68	557.3	511.90000000000003	563.98	501.56	503.18	525.6400000000001	540.1600000000001	515.29	500.40999999999997	531.03	552.1800000000001
48	6062.0	21192.0	440.22	475.1	468.96000000000004	454.26	424.40000000000003	461.27000000000004	409.8	461.9	474.15000000000003	454.42	423.93	456.79999999999995	450.86	436.40999999999997	484.23	462.9	444.62	453.76	460.85	439.5	445.38	461.04	452.26	448.0	475.76	431.23	433.28000000000003
49	6941.0	8941.0	319.42	316.6	339.78	328.68	336.28	315.93	327.03999999999996	329.74	336.42	303.12	314.8	393.87	354.32	316.16	348.44	350.68000000000006	305.24	330.88	321.26	374.84000000000003	339.12	328.4	345.70000000000005	341.59000000000003	312.64	323.82000000000005	352.98
50	6524.0	11537.0	597.4000000000001	595.4200000000001	464.53999999999996	571.25	561.8399999999999	438.16999999999996	440.94	399.71999999999997	504.82	506.65	476.06000000000006	421.34000000000003	273.6	514.8	419.59999999999997	414.09999999999997	444.56	421.12	396.98	368.33	416.58000000000004	445.91999999999996	439.25999999999993	466.04	429.08000000000004	397.68	498.26
51	4564.0	11294.0	351.03000000000003	374.37	342.41	416.96000000000004	351.35	367.56000000000006	353.58000000000004	349.40000000000003	348.28	366.52000000000004	404.99	342.09999999999997	408.28000000000003	361.48	375.18	351.57000000000005	398.76	444.03999999999996	329.83000000000004	416.64	387.86	353.86	386.28	348.48	351.79999999999995	349.68	358.14
52	2466.0	9730.0	479.76	485.69	521.98	505.92	489.13	493.26	520.38	479.63	603.02	457.32	457.07	507.69	459.75	592.1800000000001	546.14	496.08000000000004	553.1	533.99	497.13	538.1600000000001	527.48	400.17	553.56	460.79	611.73	471.42	575.4399999999999
53	1299.0	5800.0	387.18	425.18	425.96000000000004	486.61999999999995	575.1700000000001	408.84000000000003	391.52	429.67	385.28	415.69000000000005	450.12	477.36	409.37	505.92	580.72	380.05	413.88	427.53999999999996	513.12	403.70000000000005	524.0	407.74	387.91	404.38	434.96000000000004	398.06999999999994	435.6
54	6555.0	7178.0	271.9	290.28	276.18	279.36	272.58	280.72	276.81	278.98	273.28	284.27	272.88	277.81000000000006	280.56	284.18	276.69	271.64	282.38	281.58000000000004	284.28	279.02	273.57000000000005	280.8	275.39	276.98	263.68	286.69000000000005	279.76
55	21920.0	9487.0	541.75	585.5	554.88	525.48	525.36	560.68	501.49	571.33	459.82000000000005	581.4200000000001	527.04	484.68	517.2	574.48	489.41	528.81	556.62	581.39	559.7	550.72	562.3100000000001	500.34000000000003	474.77	476.9	544.23	532.4000000000001	586.88
56	10337.0	11161.0	425.58000000000004	385.88	402.3	366.74	376.08000000000004	455.08000000000004	420.28	397.0	437.39	415.84	405.54	505.40000000000003	353.92999999999995	415.6	423.53	442.06000000000006	373.98	406.26	349.68	433.61	384.4	401.04999999999995	432.03999999999996	431.38	439.23	441.91999999999996	356.3299999999999
57	2526.0	14445.0	700.6600000000001	579.78	550.5799999999999	591.1400000000001	501.49	624.02	506.61	550.28	530.71	632.09	502.78000000000003	494.83000000000004	488.36	599.96	574.9	554.78	589.6800000000001	559.44	527.57	824.1199999999999	588.0699999999999	532.55	563.44	520.48	614.26	457.78	514.4
58	451.0	11661.0	435.65999999999997	387.91999999999996	442.74	418.62	369.96000000000004	388.70000000000005	409.28	393.58000000000004	395.91999999999996	363.04	372.91999999999996	361.56	429.64	397.48	423.17	388.68	459.64	397.95000000000005	502.78000000000003	400.99	395.16	386.48	392.42	392.32	430.4	382.58000000000004	410.04
59	1455.0	6210.0	487.34	437.53	386.53000000000003	440.0	357.12	400.77	469.64	407.16999999999996	415.61	452.78000000000003	438.46000000000004	388.41	476.1	374.79	396.72	373.03999999999996	381.89000000000004	412.36	453.87	428.72	424.32000000000005	424.78	398.76	419.08000000000004	399.98	373.65	398.81999999999994
60	7864.0	11479.0	371.53999999999996	340.56000000000006	286.36	458.96000000000004	385.38	400.12	363.99	401.88	383.08000000000004	364.70000000000005	411.26	399.44	295.3	388.43	334.5	372.86	407.9	381.19000000000005	448.98	329.78	289.03999999999996	365.76	373.18000000000006	375.41999999999996	382.78	340.49	390.28
61	7623.0	16419.0	437.34999999999997	494.88	410.64	415.13	510.1	458.25	467.6	488.21	489.30999999999995	437.18	466.78000000000003	447.65	488.45	430.34000000000003	446.28	469.02	457.28	472.07000000000005	400.6	428.01	456.49	478.92	456.2799999999999	442.34000000000003	457.86	457.34	394.88
